name,type,count,shape0,shape1,shape2,mean0,mean1,mean2
1.2.826.0.1.3680043.6200.npz,C1,13193,36.0,44.0,79.0,191.0,98.0,139.5
1.2.826.0.1.3680043.6200.npz,C2,18179,53.0,53.0,52.0,176.5,91.5,139.0
1.2.826.0.1.3680043.6200.npz,C3,7130,22.0,33.0,51.0,154.0,83.5,142.5
1.2.826.0.1.3680043.6200.npz,C4,2,2.0,1.0,0.0,141.0,94.5,160.0
1.2.826.0.1.3680043.6200.npz,C5,6787,27.0,30.0,55.0,134.5,82.0,145.5
1.2.826.0.1.3680043.6200.npz,C6,3861,24.0,32.0,46.0,117.0,87.0,146.0
1.2.826.0.1.3680043.6200.npz,C7,1412,30.0,44.0,38.0,111.0,102.0,141.0
1.2.826.0.1.3680043.27262.npz,C1,43473,45.0,65.0,112.0,196.5,54.5,124.0
1.2.826.0.1.3680043.27262.npz,C2,56514,63.0,83.0,83.0,179.5,61.5,129.5
1.2.826.0.1.3680043.27262.npz,C3,28928,39.0,66.0,79.0,148.5,58.0,128.5
1.2.826.0.1.3680043.27262.npz,C4,40497,59.0,65.0,86.0,132.5,61.5,133.0
1.2.826.0.1.3680043.27262.npz,C5,41756,60.0,68.0,90.0,114.0,67.0,136.0
1.2.826.0.1.3680043.27262.npz,C6,46760,50.0,78.0,91.0,88.0,79.0,136.5
1.2.826.0.1.3680043.27262.npz,C7,60767,57.0,86.0,117.0,70.5,94.0,133.5
1.2.826.0.1.3680043.21561.npz,C1,48057,38.0,84.0,167.0,192.0,78.0,113.5
1.2.826.0.1.3680043.21561.npz,C2,59654,50.0,97.0,111.0,184.0,84.5,110.5
1.2.826.0.1.3680043.21561.npz,C3,35881,34.0,82.0,108.0,154.0,75.0,112.0
1.2.826.0.1.3680043.21561.npz,C4,36753,35.0,88.0,110.0,139.5,76.0,111.0
1.2.826.0.1.3680043.21561.npz,C5,40219,34.0,92.0,110.0,126.0,79.0,115.0
1.2.826.0.1.3680043.21561.npz,C6,49193,39.0,119.0,108.0,110.5,91.5,120.0
1.2.826.0.1.3680043.21561.npz,C7,25752,40.0,128.0,129.0,96.0,100.0,123.5
1.2.826.0.1.3680043.12351.npz,C1,76715,31.0,89.0,157.0,181.5,115.5,135.5
1.2.826.0.1.3680043.12351.npz,C2,88268,53.0,103.0,118.0,166.5,127.5,132.0
1.2.826.0.1.3680043.12351.npz,C3,55842,35.0,89.0,110.0,135.5,128.5,129.0
1.2.826.0.1.3680043.12351.npz,C4,52634,47.0,88.0,114.0,113.5,130.0,125.0
1.2.826.0.1.3680043.12351.npz,C5,56603,47.0,100.0,111.0,92.5,136.0,126.5
1.2.826.0.1.3680043.12351.npz,C6,61092,46.0,118.0,130.0,91.0,145.0,121.0
1.2.826.0.1.3680043.12351.npz,C7,79210,40.0,123.0,151.0,66.0,149.5,119.5
1.2.826.0.1.3680043.1363.npz,C1,12272,33.0,38.0,65.0,201.5,132.0,128.5
1.2.826.0.1.3680043.1363.npz,C2,16532,50.0,45.0,47.0,182.0,142.5,126.5
1.2.826.0.1.3680043.1363.npz,C3,10518,35.0,37.0,46.0,152.5,147.5,127.0
1.2.826.0.1.3680043.1363.npz,C4,11558,35.0,37.0,48.0,129.5,153.5,127.0
1.2.826.0.1.3680043.1363.npz,C5,13245,39.0,40.0,50.0,107.5,161.0,128.0
1.2.826.0.1.3680043.1363.npz,C6,13879,37.0,48.0,47.0,84.5,170.0,128.5
1.2.826.0.1.3680043.1363.npz,C7,15393,44.0,49.0,58.0,64.0,178.5,129.0
1.2.826.0.1.3680043.4859.npz,C1,84699,36.0,93.0,177.0,198.0,77.5,118.5
1.2.826.0.1.3680043.4859.npz,C2,120669,84.0,112.0,120.0,170.0,83.0,118.0
1.2.826.0.1.3680043.4859.npz,C3,78214,48.0,91.0,119.0,139.0,69.5,118.5
1.2.826.0.1.3680043.4859.npz,C4,84887,52.0,97.0,121.0,116.0,68.5,120.5
1.2.826.0.1.3680043.4859.npz,C5,57731,46.0,110.0,119.0,99.0,76.0,120.5
1.2.826.0.1.3680043.4859.npz,C6,74543,50.0,110.0,119.0,76.0,77.0,122.5
1.2.826.0.1.3680043.4859.npz,C7,106687,57.0,156.0,153.0,57.5,110.0,123.5
1.2.826.0.1.3680043.18659.npz,C1,49207,35.0,80.0,141.0,201.5,88.0,124.5
1.2.826.0.1.3680043.18659.npz,C2,61651,56.0,92.0,96.0,187.0,89.0,124.0
1.2.826.0.1.3680043.18659.npz,C3,39956,35.0,72.0,92.0,152.5,81.0,122.0
1.2.826.0.1.3680043.18659.npz,C4,32437,31.0,81.0,92.0,138.5,89.5,118.0
1.2.826.0.1.3680043.18659.npz,C5,40930,32.0,81.0,94.0,120.0,94.5,119.0
